year,month,examined,positive,infection_rate
1992,1,0,0,
1992,2,0,0,
1992,3,0,0,
1992,4,0,0,
1992,5,2925,1022,34.94
1992,6,46,25,54.35
1992,7,520,89,17.12
1992,8,36,21,58.33
1992,9,0,0,
1992,10,99,65,65.66
1992,11,0,0,
1992,12,0,0,
,,,0,
1993,1,0,0,
1993,2,0,0,
1993,3,0,0,
1993,4,0,0,
1993,5,0,0,
1993,6,1500,240,16
1993,7,151,109,72.19
1993,8,11,5,45.45
1993,9,0,0,
1993,10,0,0,
1993,11,0,0,
1993,12,436,113,25.92
,,,0,
1994,1,0,0,
1994,2,0,0,
1994,3,0,0,
1994,4,16,8,50
1994,5,0,0,
1994,6,14,6,42.86
1994,7,0,0,
1994,8,50,22,44
1994,9,26,10,38.46
1994,10,608,228,37.5
1994,11,12,8,66.67
1994,12,56,34,60.71
,,,0,
1995,1,0,0,
1995,2,0,0,
1995,3,0,0,
1995,4,0,0,
1995,5,0,0,
1995,6,0,0,
1995,7,0,0,
1995,8,15,6,40
1995,9,0,0,
1995,10,630,421,66.83
1995,11,0,0,
1995,12,332,277,83.43
,,,0,
1996,1,0,0,
1996,2,0,0,
1996,3,0,0,
1996,4,0,0,
1996,5,0,0,
1996,6,0,0,
1996,7,86,42,48.84
1996,8,344,207,60.17
1996,9,0,0,
1996,10,0,0,
1996,11,57,30,52.63
1996,12,0,0,
,,,0,
1999,1,0,0,
1999,2,0,0,
1999,3,0,0,
1999,4,0,0,
1999,5,0,0,
1999,6,0,0,
1999,7,0,0,
1999,8,0,0,
1999,9,0,0,
1999,10,0,0,
1999,11,575,378,65.74
1999,12,0,0,
,,,0,
2001,1,0,0,
2001,2,0,0,
2001,3,0,0,
2001,4,0,0,
2001,5,0,0,
2001,6,225,135,60
2001,7,0,0,
2001,8,0,0,
2001,9,0,0,
2001,10,0,0,
2001,11,0,0,
2001,12,0,0,
,,,0,
2002,1,0,0,
2002,2,0,0,
2002,3,0,0,
2002,4,0,0,
2002,5,0,0,
2002,6,0,0,
2002,7,0,0,
2002,8,0,0,
2002,9,0,0,
2002,10,0,0,
2002,11,368,87,23.64
2002,12,380,86,22.63
,,,0,
2003,1,0,0,
2003,2,0,0,
2003,3,0,0,
2003,4,0,0,
2003,5,0,0,
2003,6,762,197,25.85
2003,7,0,0,
2003,8,0,0,
2003,9,0,0,
2003,10,0,0,
2003,11,0,0,
2003,12,0,0,
,,,0,
2004,1,0,0,
2004,2,0,0,
2004,3,0,0,
2004,4,0,0,
2004,5,0,0,
2004,6,0,0,
2004,7,0,0,
2004,8,0,0,
2004,9,0,0,
2004,10,0,0,
2004,11,139,20,14.39
2004,12,0,0,
,,,0,
2005,1,0,0,
2005,2,0,0,
2005,3,0,0,
2005,4,41,6,14.63
2005,5,0,0,
2005,6,0,0,
2005,7,0,0,
2005,8,0,0,
2005,9,0,0,
2005,10,437,36,8.24
2005,11,0,0,
2005,12,0,0,
,,,0,
2006,1,0,0,
2006,2,0,0,
2006,3,0,0,
2006,4,0,0,
2006,5,0,0,
2006,6,0,0,
2006,7,296,51,17.23
2006,8,1446,636,43.98
2006,9,34,8,23.53
2006,10,0,0,
2006,11,0,0,
2006,12,0,0,
,,,0,
2007,1,0,0,
2007,2,0,0,
2007,3,0,0,
2007,4,0,0,
2007,5,0,0,
2007,6,0,0,
2007,7,0,0,
2007,8,0,0,
2007,9,780,212,27.18
2007,10,0,0,
2007,11,0,0,
2007,12,0,0,
,,,0,
2008,1,0,0,
2008,2,0,0,
2008,3,0,0,
2008,4,0,0,
2008,5,0,0,
2008,6,0,0,
2008,7,0,0,
2008,8,0,0,
2008,9,0,0,
2008,10,821,273,33.25
2008,11,553,161,29.11
2008,12,425,119,28
,,,0,
2009,1,0,0,
2009,2,0,0,
2009,3,0,0,
2009,4,0,0,
2009,5,1209,898,74.28
2009,6,494,214,43.32
2009,7,0,0,
2009,8,0,0,
2009,9,1140,763,66.93
2009,10,840,236,28.1
2009,11,4406,880,19.97
2009,12,3592,883,24.58
,,,0,
2010,1,0,0,
2010,2,24,0,0
2010,3,2051,841,41
2010,4,0,0,
2010,5,0,0,
2010,6,0,0,
2010,7,0,0,
2010,8,0,0,
2010,9,0,0,
2010,10,0,0,
2010,11,0,0,
2010,12,0,0,
,,,0,
2011,1,0,0,
2011,2,1480,208,14.05
2011,3,0,0,
2011,4,0,0,
2011,5,0,0,
2011,6,0,0,
2011,7,0,0,
2011,8,0,0,
2011,9,1544,151,9.78
2011,10,0,0,
2011,11,0,0,
2011,12,0,0,
,,,0,
2014,1,0,0,
2014,2,0,0,
2014,3,0,0,
2014,4,0,0,
2014,5,0,0,
2014,6,0,0,
2014,7,0,0,
2014,8,0,0,
2014,9,0,0,
2014,10,0,0,
2014,11,0,0,
2014,12,2922,528,18.07
,,,0,
2015,1,1775,386,21.75
2015,2,0,0,
2015,3,0,0,
2015,4,0,0,
2015,5,0,0,
2015,6,271,150,55.35
2015,7,0,0,
2015,8,0,0,
2015,9,0,0,
2015,10,0,0,
2015,11,0,0,
2015,12,194,59,30.41
,,,0,
2016,1,0,0,
2016,2,0,0,
2016,3,0,0,
2016,4,0,0,
2016,5,0,0,
2016,6,412,156,37.86
2016,7,983,363,36.93
2016,8,1137,388,34.12
2016,9,1120,324,28.93
2016,10,1030,312,30.29
2016,11,706,286,40.51
2016,12,27,12,44.44
